y+,u_mean,uu+,ww+,y+2,vv+,-uv+,-uv/urmsvrms,nu_t+,Diss.,Prod.,Mole_Diff.,vel_p_grad.,Turb_Diff.
1.54305E+01,1.09311E+01,7.48881E+00,1.33843E+00,1.61985E+01,3.00279E-01,6.53727E-01,4.37597E-01,2.13396E+00,-1.23635E-01,2.08258E-01,2.20414E-02,-9.78670E-04,-6.05722E-02
1.70197E+01,1.14180E+01,7.37590E+00,1.40833E+00,1.78409E+01,3.52851E-01,6.93386E-01,4.32599E-01,2.64398E+00,-1.19070E-01,1.90669E-01,1.46336E-02,-1.95707E-03,-5.39628E-02
1.87170E+01,1.18631E+01,7.18661E+00,1.47030E+00,1.95930E+01,4.08134E-01,7.26754E-01,4.28032E-01,3.24182E+00,-1.13751E-01,1.71907E-01,9.03132E-03,-2.54721E-03,-4.54943E-02
2.05253E+01,1.22684E+01,6.94144E+00,1.52390E+00,2.14576E+01,4.65083E-01,7.54240E-01,4.24134E-01,3.93420E+00,-1.07903E-01,1.53256E-01,4.99575E-03,-2.76979E-03,-3.64510E-02
2.24475E+01,1.26370E+01,6.65921E+00,1.56906E+00,2.34373E+01,5.22590E-01,7.76398E-01,4.21036E-01,4.72567E+00,-1.01732E-01,1.35590E-01,2.23146E-03,-2.68188E-03,-2.77480E-02
2.44860E+01,1.29718E+01,6.35620E+00,1.60608E+00,2.55346E+01,5.79546E-01,7.93828E-01,4.18780E-01,5.61761E+00,-9.54149E-02,1.19422E-01,4.39498E-04,-2.36260E-03,-1.99527E-02
2.66431E+01,1.32767E+01,6.04574E+00,1.63549E+00,2.77516E+01,6.34902E-01,8.07133E-01,4.17349E-01,6.60726E+00,-8.90978E-02,1.04999E-01,6.36871E-04,-1.90048E-03,-1.33400E-02
2.89209E+01,1.35549E+01,5.73815E+00,1.65795E+00,3.00901E+01,6.87720E-01,8.16877E-01,4.16681E-01,7.68692E+00,-8.28991E-02,9.23759E-02,1.20458E-03,-1.37839E-03,-7.97511E-03
3.13209E+01,1.38100E+01,5.44084E+00,1.67417E+00,3.25517E+01,7.37214E-01,8.23576E-01,4.16690E-01,8.84373E+00,-7.69170E-02,8.14817E-02,1.44301E-03,-8.60155E-04,-3.80728E-03
3.38447E+01,1.40450E+01,5.15887E+00,1.68479E+00,3.51376E+01,7.82764E-01,8.27686E-01,4.17282E-01,1.00607E+01,-7.12232E-02,7.21748E-02,1.48080E-03,-3.88485E-04,-7.08616E-04
3.64933E+01,1.42629E+01,4.89528E+00,1.69040E+00,3.78490E+01,8.23921E-01,8.29600E-01,4.18357E-01,1.13166E+01,-6.58646E-02,6.42788E-02,1.39853E-03,8.25890E-06,1.49230E-03
3.92678E+01,1.44662E+01,4.65153E+00,1.69157E+00,4.06866E+01,8.60405E-01,8.29653E-01,4.19819E-01,1.25886E+01,-6.08713E-02,5.76077E-02,1.25877E-03,3.15253E-04,2.96672E-03
4.21687E+01,1.46575E+01,4.42797E+00,1.68874E+00,4.36508E+01,8.92089E-01,8.28137E-01,4.21580E-01,1.38556E+01,-5.62573E-02,5.19774E-02,1.10169E-03,5.30070E-04,3.87790E-03
4.51963E+01,1.48384E+01,4.22424E+00,1.68228E+00,4.67418E+01,9.18982E-01,8.25301E-01,4.23560E-01,1.51008E+01,-5.20183E-02,4.72142E-02,9.48169E-04,6.57292E-04,4.37229E-03
4.83507E+01,1.50108E+01,4.03941E+00,1.67257E+00,4.99596E+01,9.41209E-01,8.21343E-01,4.25686E-01,1.63094E+01,-4.81362E-02,4.31653E-02,8.00982E-04,7.08810E-04,4.57254E-03
5.16317E+01,1.51760E+01,3.87216E+00,1.65994E+00,5.33038E+01,9.58999E-01,8.16422E-01,4.27891E-01,1.74718E+01,-4.45887E-02,3.97016E-02,6.67627E-04,7.01356E-04,4.56495E-03
5.50388E+01,1.53353E+01,3.72091E+00,1.64468E+00,5.67738E+01,9.72666E-01,8.10669E-01,4.30123E-01,1.85810E+01,-4.13533E-02,3.67155E-02,5.52954E-04,6.52843E-04,4.41368E-03
5.85713E+01,1.54894E+01,3.58387E+00,1.62718E+00,6.03688E+01,9.82564E-01,8.04187E-01,4.32337E-01,1.96328E+01,-3.84055E-02,3.41200E-02,4.63056E-04,5.75592E-04,4.16543E-03
6.22282E+01,1.56392E+01,3.45936E+00,1.60789E+00,6.40876E+01,9.89062E-01,7.97057E-01,4.34495E-01,2.06256E+01,-3.57166E-02,3.18435E-02,3.93005E-04,4.74685E-04,3.86244E-03
6.60082E+01,1.57852E+01,3.34591E+00,1.58723E+00,6.79289E+01,9.92546E-01,7.89345E-01,4.36557E-01,2.15600E+01,-3.32603E-02,2.98281E-02,3.28001E-04,3.58370E-04,3.54416E-03
6.99100E+01,1.59281E+01,3.24213E+00,1.56542E+00,7.18912E+01,9.93410E-01,7.81095E-01,4.38488E-01,2.24317E+01,-3.10179E-02,2.80305E-02,2.68804E-04,2.36091E-04,3.22570E-03
7.39319E+01,1.60682E+01,3.14663E+00,1.54252E+00,7.59726E+01,9.92035E-01,7.72361E-01,4.40260E-01,2.32502E+01,-2.89716E-02,2.64122E-02,2.27096E-04,1.18860E-04,2.90496E-03
7.80719E+01,1.62057E+01,3.05846E+00,1.51858E+00,8.01712E+01,9.88741E-01,7.63178E-01,4.41838E-01,2.40167E+01,-2.71028E-02,2.49408E-02,1.95522E-04,1.53175E-05,2.59443E-03
8.23280E+01,1.63409E+01,2.97675E+00,1.49375E+00,8.44849E+01,9.83786E-01,7.53562E-01,4.43199E-01,2.47236E+01,-2.53939E-02,2.35976E-02,1.71468E-04,-7.27777E-05,2.29640E-03
8.66980E+01,1.64741E+01,2.90068E+00,1.46833E+00,8.89112E+01,9.77394E-01,7.43540E-01,4.44335E-01,2.53720E+01,-2.38268E-02,2.23676E-02,1.48460E-04,-1.43367E-04,2.01058E-03
9.11794E+01,1.66054E+01,2.82944E+00,1.44258E+00,9.34477E+01,9.69774E-01,7.33132E-01,4.45248E-01,2.59603E+01,-2.23872E-02,2.12362E-02,1.22350E-04,-1.91752E-04,1.73760E-03
9.57696E+01,1.67351E+01,2.76215E+00,1.41660E+00,9.80916E+01,9.61072E-01,7.22375E-01,4.45962E-01,2.65043E+01,-2.10632E-02,2.01858E-02,1.00934E-04,-2.20231E-04,1.47863E-03
1.00466E+02,1.68631E+01,2.69815E+00,1.39042E+00,1.02840E+02,9.51394E-01,7.11300E-01,4.46511E-01,2.70205E+01,-1.98419E-02,1.91965E-02,8.02054E-05,-2.39491E-04,1.25281E-03
1.05265E+02,1.69894E+01,2.63673E+00,1.36406E+00,1.07691E+02,9.40852E-01,6.99918E-01,4.46907E-01,2.75055E+01,-1.87132E-02,1.82575E-02,6.65698E-05,-2.56877E-04,1.06269E-03
1.10165E+02,1.71141E+01,2.57740E+00,1.33753E+00,1.12640E+02,9.29565E-01,6.88235E-01,4.47144E-01,2.79509E+01,-1.76699E-02,1.73686E-02,6.27306E-05,-2.72191E-04,8.98547E-04
1.15162E+02,1.72371E+01,2.51992E+00,1.31103E+00,1.17684E+02,9.17653E-01,6.76253E-01,4.47210E-01,2.83455E+01,-1.67035E-02,1.65308E-02,5.53900E-05,-2.86877E-04,7.63702E-04
1.20253E+02,1.73586E+01,2.46387E+00,1.28470E+00,1.22821E+02,9.05229E-01,6.63991E-01,4.47111E-01,2.86958E+01,-1.58046E-02,1.57397E-02,4.54638E-05,-2.99408E-04,6.54000E-04
1.25435E+02,1.74785E+01,2.40893E+00,1.25848E+00,1.28048E+02,8.92363E-01,6.51473E-01,4.46865E-01,2.90162E+01,-1.49650E-02,1.49860E-02,3.81170E-05,-3.11926E-04,5.64561E-04
1.30704E+02,1.75968E+01,2.35474E+00,1.23246E+00,1.33360E+02,8.79078E-01,6.38703E-01,4.46479E-01,2.93003E+01,-1.41798E-02,1.42654E-02,3.64525E-05,-3.21728E-04,4.88846E-04
1.36057E+02,1.77135E+01,2.30126E+00,1.20671E+00,1.38754E+02,8.65404E-01,6.25690E-01,4.45933E-01,2.95387E+01,-1.34456E-02,1.35791E-02,3.39148E-05,-3.28453E-04,4.29220E-04
1.41491E+02,1.78285E+01,2.24866E+00,1.18104E+00,1.44227E+02,8.51416E-01,6.12448E-01,4.45205E-01,2.97370E+01,-1.27583E-02,1.29251E-02,2.76049E-05,-3.33664E-04,3.87637E-04
1.47002E+02,1.79421E+01,2.19684E+00,1.15521E+00,1.49776E+02,8.37188E-01,5.98993E-01,4.44291E-01,2.99026E+01,-1.21151E-02,1.22982E-02,2.18072E-05,-3.35746E-04,3.61774E-04
1.52587E+02,1.80540E+01,2.14558E+00,1.12916E+00,1.55397E+02,8.22748E-01,5.85333E-01,4.43193E-01,3.00287E+01,-1.15128E-02,1.16962E-02,1.81335E-05,-3.38421E-04,3.51881E-04
1.58242E+02,1.81642E+01,2.09475E+00,1.10291E+00,1.61087E+02,8.08102E-01,5.71482E-01,4.41919E-01,3.01208E+01,-1.09453E-02,1.11180E-02,1.61182E-05,-3.48631E-04,3.59540E-04
1.63965E+02,1.82727E+01,2.04429E+00,1.07640E+00,1.66842E+02,7.93293E-01,5.57457E-01,4.40455E-01,3.01915E+01,-1.04084E-02,1.05592E-02,1.69296E-05,-3.63150E-04,3.80292E-04
1.69751E+02,1.83796E+01,1.99431E+00,1.04968E+00,1.72659E+02,7.78395E-01,5.43265E-01,4.38764E-01,3.02393E+01,-9.90058E-03,1.00178E-02,2.03823E-05,-3.71794E-04,4.06354E-04
1.75597E+02,1.84847E+01,1.94488E+00,1.02289E+00,1.78535E+02,7.63455E-01,5.28907E-01,4.36819E-01,3.02492E+01,-9.42150E-03,9.49592E-03,2.09712E-05,-3.72291E-04,4.37825E-04
1.81501E+02,1.85878E+01,1.89592E+00,9.96220E-01,1.84467E+02,7.48514E-01,5.14398E-01,4.34616E-01,3.02276E+01,-8.96952E-03,8.99346E-03,1.79703E-05,-3.67936E-04,4.76949E-04
1.87458E+02,1.86893E+01,1.84722E+00,9.69687E-01,1.90450E+02,7.33647E-01,4.99756E-01,4.32151E-01,3.01921E+01,-8.54176E-03,8.50608E-03,1.51207E-05,-3.61807E-04,5.23700E-04
1.93466E+02,1.87887E+01,1.79869E+00,9.43200E-01,1.96483E+02,7.18934E-01,4.84979E-01,4.29397E-01,3.01267E+01,-8.13582E-03,8.03316E-03,1.29181E-05,-3.55827E-04,5.77883E-04
1.99522E+02,1.88862E+01,1.75016E+00,9.16786E-01,2.02561E+02,7.04391E-01,4.70067E-01,4.26340E-01,3.00103E+01,-7.75009E-03,7.57864E-03,1.17792E-05,-3.53232E-04,6.37348E-04
2.05622E+02,1.89818E+01,1.70162E+00,8.90428E-01,2.08683E+02,6.90017E-01,4.55027E-01,4.22965E-01,2.98437E+01,-7.38342E-03,7.14394E-03,1.15605E-05,-3.54704E-04,6.99287E-04
2.11764E+02,1.90754E+01,1.65311E+00,8.64139E-01,2.14844E+02,6.75817E-01,4.39873E-01,4.19253E-01,2.96340E+01,-7.03555E-03,6.72727E-03,1.26447E-05,-3.57340E-04,7.62813E-04
2.17944E+02,1.91671E+01,1.60472E+00,8.37955E-01,2.21043E+02,6.61774E-01,4.24617E-01,4.15179E-01,2.93883E+01,-6.70545E-03,6.32626E-03,1.38044E-05,-3.62851E-04,8.31672E-04
2.24160E+02,1.92569E+01,1.55660E+00,8.11901E-01,2.27277E+02,6.47868E-01,4.09268E-01,4.10719E-01,2.91107E+01,-6.39179E-03,5.93899E-03,1.52287E-05,-3.70188E-04,9.05092E-04
2.30409E+02,1.93447E+01,1.50886E+00,7.86042E-01,2.33542E+02,6.34098E-01,3.93843E-01,4.05843E-01,2.88171E+01,-6.09277E-03,5.56291E-03,1.74050E-05,-3.77683E-04,9.81784E-04
2.36689E+02,1.94306E+01,1.46165E+00,7.60439E-01,2.39837E+02,6.20520E-01,3.78351E-01,4.00498E-01,2.85193E+01,-5.80714E-03,5.19594E-03,1.88899E-05,-3.85217E-04,1.06391E-03
2.42997E+02,1.95143E+01,1.41502E+00,7.35129E-01,2.46158E+02,6.07214E-01,3.62793E-01,3.94622E-01,2.82032E+01,-5.53520E-03,4.83854E-03,2.04533E-05,-3.90917E-04,1.14960E-03
2.49331E+02,1.95958E+01,1.36900E+00,7.10201E-01,2.52504E+02,5.94256E-01,3.47175E-01,3.88163E-01,2.78743E+01,-5.27683E-03,4.49127E-03,1.98305E-05,-3.95782E-04,1.24005E-03
2.55689E+02,1.96749E+01,1.32349E+00,6.85647E-01,2.58873E+02,5.81724E-01,3.31501E-01,3.81080E-01,2.75207E+01,-5.03262E-03,4.15492E-03,1.89967E-05,-3.98642E-04,1.33205E-03
2.62067E+02,1.97518E+01,1.27835E+00,6.61548E-01,2.65262E+02,5.69664E-01,3.15770E-01,3.73333E-01,2.71256E+01,-4.80369E-03,3.83145E-03,2.00993E-05,-3.97199E-04,1.42057E-03
2.68465E+02,1.98263E+01,1.23349E+00,6.38098E-01,2.71669E+02,5.58081E-01,2.99994E-01,3.64896E-01,2.67029E+01,-4.58923E-03,3.52066E-03,2.28742E-05,-3.89908E-04,1.50376E-03
2.74880E+02,1.98984E+01,1.18895E+00,6.15509E-01,2.78092E+02,5.46965E-01,2.84187E-01,3.55739E-01,2.62747E+01,-4.38718E-03,3.22047E-03,2.44915E-05,-3.77688E-04,1.58476E-03
2.81311E+02,1.99679E+01,1.14480E+00,5.93898E-01,2.84530E+02,5.36327E-01,2.68358E-01,3.45807E-01,2.58422E+01,-4.19667E-03,2.92981E-03,2.57611E-05,-3.63978E-04,1.66670E-03
2.87756E+02,2.00348E+01,1.10117E+00,5.73254E-01,2.90981E+02,5.26183E-01,2.52513E-01,3.35029E-01,2.54037E+01,-4.01773E-03,2.64876E-03,2.77153E-05,-3.52601E-04,1.75232E-03
2.94212E+02,2.00990E+01,1.05825E+00,5.53561E-01,2.97443E+02,5.16554E-01,2.36656E-01,3.23327E-01,2.49624E+01,-3.85010E-03,2.37772E-03,2.92290E-05,-3.42996E-04,1.84178E-03
3.00680E+02,2.01603E+01,1.01622E+00,5.34772E-01,3.03916E+02,5.07464E-01,2.20796E-01,3.10623E-01,2.45274E+01,-3.69368E-03,2.11691E-03,3.12563E-05,-3.33218E-04,1.93206E-03
3.07156E+02,2.02186E+01,9.75290E-01,5.16852E-01,3.10396E+02,4.98955E-01,2.04936E-01,2.96827E-01,2.41002E+01,-3.54844E-03,1.86683E-03,3.39522E-05,-3.21856E-04,2.02045E-03
3.13641E+02,2.02737E+01,9.35641E-01,4.99818E-01,3.16885E+02,4.91061E-01,1.89080E-01,2.81849E-01,2.36809E+01,-3.41425E-03,1.62831E-03,3.77754E-05,-3.06630E-04,2.10367E-03
3.20132E+02,2.03255E+01,8.97523E-01,4.83741E-01,3.23379E+02,4.83802E-01,1.73238E-01,2.65612E-01,2.32878E+01,-3.29059E-03,1.40183E-03,4.18893E-05,-2.87809E-04,2.18175E-03
3.26629E+02,2.03738E+01,8.61212E-01,4.68697E-01,3.29878E+02,4.77192E-01,1.57411E-01,2.48034E-01,2.29246E+01,-3.17705E-03,1.18812E-03,4.62348E-05,-2.67433E-04,2.25562E-03
3.33130E+02,2.04185E+01,8.27025E-01,4.54747E-01,3.36382E+02,4.71225E-01,1.41601E-01,2.29048E-01,2.25840E+01,-3.07376E-03,9.88456E-04,4.97692E-05,-2.46517E-04,2.32621E-03
3.39636E+02,2.04594E+01,7.95252E-01,4.41929E-01,3.42889E+02,4.65884E-01,1.25809E-01,2.08620E-01,2.22770E+01,-2.98102E-03,8.03977E-04,5.26420E-05,-2.25461E-04,2.39272E-03
3.46144E+02,2.04961E+01,7.66115E-01,4.30293E-01,3.49399E+02,4.61148E-01,1.10039E-01,1.86747E-01,2.20166E+01,-2.89882E-03,6.35547E-04,5.65263E-05,-2.05612E-04,2.45386E-03
3.52655E+02,2.05286E+01,7.39821E-01,4.19992E-01,3.55911E+02,4.57002E-01,9.42910E-02,1.63455E-01,2.18251E+01,-2.82650E-03,4.84283E-04,6.04177E-05,-1.88008E-04,2.50991E-03
3.59168E+02,2.05568E+01,7.16590E-01,4.11152E-01,3.62424E+02,4.53449E-01,7.85606E-02,1.38788E-01,2.16946E+01,-2.76397E-03,3.51723E-04,6.44630E-05,-1.73126E-04,2.55976E-03
3.65681E+02,2.05804E+01,6.96683E-01,4.03846E-01,3.68939E+02,4.50508E-01,6.28409E-02,1.12834E-01,2.16108E+01,-2.71195E-03,2.39529E-04,6.81480E-05,-1.61067E-04,2.60318E-03
3.72196E+02,2.05993E+01,6.80349E-01,3.98124E-01,3.75454E+02,4.48203E-01,4.71276E-02,8.57404E-02,2.15667E+01,-2.67083E-03,1.48943E-04,7.09583E-05,-1.51081E-04,2.63917E-03
3.78711E+02,2.06136E+01,6.67819E-01,3.93973E-01,3.81969E+02,4.46558E-01,3.14176E-02,5.77156E-02,2.15514E+01,-2.64048E-03,8.06378E-05,7.27102E-05,-1.43218E-04,2.66689E-03
3.85227E+02,2.06230E+01,6.59318E-01,3.91301E-01,3.88484E+02,4.45578E-01,1.57090E-02,2.90300E-02,2.15590E+01,-2.62060E-03,3.49452E-05,7.35949E-05,-1.37741E-04,2.68593E-03
3.91742E+02,2.06278E+01,6.55032E-01,3.90002E-01,3.95000E+02,4.45256E-01,0.00000E+00,0.00000E+00,2.15591E+01,-2.61081E-03,1.20445E-05,7.34529E-05,-1.34871E-04,2.69608E-03
